layer,head,flat_idx,emotion,f1_drop,baseline_f1
0,0,0,admiration,0.0004582721707064863,0.7476280834914611
0,0,0,amusement,0.0,0.8362369337979094
0,0,0,anger,0.0,0.5180722891566265
0,0,0,annoyance,0.01829100156254787,0.45136186770428016
0,0,0,approval,-0.001796909315976536,0.5678233438485805
0,0,0,caring,-0.004621848739495782,0.55
0,0,0,confusion,0.0,0.5223880597014925
0,0,0,curiosity,0.0024986749451048063,0.7046263345195729
0,0,0,desire,0.0,0.6388888888888888
0,0,0,disappointment,0.0034750066827051174,0.3023255813953488
0,0,0,disapproval,-0.003702528297894858,0.5072463768115942
0,0,0,disgust,0.004987129987129912,0.5585585585585585
0,0,0,embarrassment,0.012307692307692297,0.32
0,0,0,excitement,0.005555555555555591,0.45
0,0,0,fear,0.0,0.6511627906976745
0,0,0,gratitude,0.0028848255263349554,0.9326145552560647
0,0,0,joy,-0.004065040650406582,0.6666666666666666
0,0,0,love,-0.0056727183813191084,0.8083623693379791
0,0,0,optimism,0.0031818181818182856,0.56
0,0,0,realization,-0.0025740025740025874,0.2857142857142857
0,0,0,remorse,0.0,0.6470588235294118
0,0,0,sadness,0.006163828061638288,0.583941605839416
0,0,0,surprise,-0.0021008403361344463,0.5714285714285714
0,1,1,admiration,-0.0004635195619739907,0.7476280834914611
0,1,1,amusement,0.0,0.8362369337979094
0,1,1,anger,-0.006317954745812537,0.5180722891566265
0,1,1,annoyance,-0.001763132295719838,0.45136186770428016
0,1,1,approval,-0.001796909315976536,0.5678233438485805
0,1,1,caring,-0.011983471074380136,0.55
0,1,1,confusion,-0.010945273631840835,0.5223880597014925
0,1,1,curiosity,-0.0025165226232842786,0.7046263345195729
0,1,1,desire,0.0,0.6388888888888888
0,1,1,disappointment,0.0,0.3023255813953488
0,1,1,disapproval,-0.021739130434782594,0.5072463768115942
0,1,1,disgust,0.004987129987129912,0.5585585585585585
0,1,1,embarrassment,0.0,0.32
0,1,1,excitement,0.0,0.45
0,1,1,fear,0.015868673050615678,0.6511627906976745
0,1,1,gratitude,0.0,0.9326145552560647
0,1,1,joy,0.0,0.6666666666666666
0,1,1,love,-0.002826441850832029,0.8083623693379791
0,1,1,optimism,0.005086705202312247,0.56
0,1,1,realization,0.0,0.2857142857142857
0,1,1,remorse,-0.019607843137254832,0.6470588235294118
0,1,1,sadness,0.006163828061638288,0.583941605839416
0,1,1,surprise,-0.006349206349206327,0.5714285714285714
0,2,2,admiration,0.008580464443842084,0.7476280834914611
0,2,2,amusement,0.0029036004645760505,0.8362369337979094
0,2,2,anger,-0.012048192771084376,0.5180722891566265
0,2,2,annoyance,0.0017494646035049466,0.45136186770428016
0,2,2,approval,0.006309148264984299,0.5678233438485805
0,2,2,caring,0.002991452991452981,0.55
0,2,2,confusion,-0.0070237050043898686,0.5223880597014925
0,2,2,curiosity,0.0024986749451048063,0.7046263345195729
0,2,2,desire,0.0,0.6388888888888888
0,2,2,disappointment,-0.003556771545827675,0.3023255813953488
0,2,2,disapproval,-0.016389986824769442,0.5072463768115942
0,2,2,disgust,0.0,0.5585585585585585
0,2,2,embarrassment,0.0,0.32
0,2,2,excitement,0.0,0.45
0,2,2,fear,0.007484629778134244,0.6511627906976745
0,2,2,gratitude,-0.002520579879070395,0.9326145552560647
0,2,2,joy,0.007984031936127733,0.6666666666666666
0,2,2,love,0.00836236933797907,0.8083623693379791
0,2,2,optimism,-0.003218390804597626,0.56
0,2,2,realization,-0.0051948051948051965,0.2857142857142857
0,2,2,remorse,-0.019607843137254832,0.6470588235294118
0,2,2,sadness,0.004231460911879759,0.583941605839416
0,2,2,surprise,-0.010660980810234588,0.5714285714285714
0,3,3,admiration,0.0004582721707064863,0.7476280834914611
0,3,3,amusement,0.0029036004645760505,0.8362369337979094
0,3,3,anger,0.0031022292763870363,0.5180722891566265
0,3,3,annoyance,0.006049367704280162,0.45136186770428016
0,3,3,approval,0.013683216460045444,0.5678233438485805
0,3,3,caring,0.007627118644067843,0.55
0,3,3,confusion,-0.021729587357330993,0.5223880597014925
0,3,3,curiosity,0.0,0.7046263345195729
0,3,3,desire,0.0,0.6388888888888888
0,3,3,disappointment,-0.003556771545827675,0.3023255813953488
0,3,3,disapproval,-0.009117259552042123,0.5072463768115942
0,3,3,disgust,0.018018018018017945,0.5585585585585585
0,3,3,embarrassment,-0.12444444444444441,0.32
0,3,3,excitement,-0.0056962025316455445,0.45
0,3,3,fear,0.032115171650055396,0.6511627906976745
0,3,3,gratitude,0.0,0.9326145552560647
0,3,3,joy,0.004016064257028051,0.6666666666666666
0,3,3,love,-0.009819448843839118,0.8083623693379791
0,3,3,optimism,0.0,0.56
0,3,3,realization,0.012987012987012991,0.2857142857142857
0,3,3,remorse,0.0,0.6470588235294118
0,3,3,sadness,0.010412194074710168,0.583941605839416
0,3,3,surprise,0.0,0.5714285714285714
0,4,4,admiration,0.0009113855552510541,0.7476280834914611
0,4,4,amusement,0.004069101630077232,0.8362369337979094
0,4,4,anger,-0.006317954745812537,0.5180722891566265
0,4,4,annoyance,0.01829100156254787,0.45136186770428016
0,4,4,approval,0.007313789708453089,0.5678233438485805
0,4,4,caring,0.0121848739495799,0.55
0,4,4,confusion,-0.010945273631840835,0.5223880597014925
0,4,4,curiosity,-0.0025165226232842786,0.7046263345195729
0,4,4,desire,0.0,0.6388888888888888
0,4,4,disappointment,-0.023255813953488413,0.3023255813953488
0,4,4,disapproval,-0.014812446717817562,0.5072463768115942
0,4,4,disgust,0.0,0.5585585585585585
0,4,4,embarrassment,-0.06461538461538463,0.32
0,4,4,excitement,0.0,0.45
0,4,4,fear,0.0,0.6511627906976745
0,4,4,gratitude,0.0028848255263349554,0.9326145552560647
0,4,4,joy,0.004016064257028051,0.6666666666666666
0,4,4,love,-0.002826441850832029,0.8083623693379791
0,4,4,optimism,-0.0017977528089887507,0.56
0,4,4,realization,-0.0025740025740025874,0.2857142857142857
0,4,4,remorse,-0.019607843137254832,0.6470588235294118
0,4,4,sadness,0.010412194074710168,0.583941605839416
0,4,4,surprise,-0.0021008403361344463,0.5714285714285714
0,5,5,admiration,0.004770940634318266,0.7476280834914611
0,5,5,amusement,0.0029036004645760505,0.8362369337979094
0,5,5,anger,-0.003139832055494729,0.5180722891566265
0,5,5,annoyance,0.010416985814516388,0.45136186770428016
0,5,5,approval,0.0008451507021630666,0.5678233438485805
0,5,5,caring,-0.011983471074380136,0.55
0,5,5,confusion,0.0,0.5223880597014925
0,5,5,curiosity,0.0,0.7046263345195729
0,5,5,desire,0.0,0.6388888888888888
0,5,5,disappointment,-0.015856236786469358,0.3023255813953488
0,5,5,disapproval,-0.011272141706924255,0.5072463768115942
0,5,5,disgust,0.018018018018017945,0.5585585585585585
0,5,5,embarrassment,0.0,0.32
0,5,5,excitement,0.01097560975609757,0.45
0,5,5,fear,0.007484629778134244,0.6511627906976745
0,5,5,gratitude,-0.002869315711677145,0.9326145552560647
0,5,5,joy,-0.0121212121212122,0.6666666666666666
0,5,5,love,-0.006968641114982521,0.8083623693379791
0,5,5,optimism,0.011428571428571455,0.56
0,5,5,realization,0.0,0.2857142857142857
0,5,5,remorse,0.0,0.6470588235294118
0,5,5,sadness,0.010412194074710168,0.583941605839416
0,5,5,surprise,0.0,0.5714285714285714
0,6,6,admiration,0.001415962279339933,0.7476280834914611
0,6,6,amusement,0.0029036004645760505,0.8362369337979094
0,6,6,anger,-0.01851307669703206,0.5180722891566265
0,6,6,annoyance,0.007782101167315203,0.45136186770428016
0,6,6,approval,-0.0026894766642400203,0.5678233438485805
0,6,6,caring,0.002991452991452981,0.55
0,6,6,confusion,-0.010945273631840835,0.5223880597014925
0,6,6,curiosity,0.009285832727458199,0.7046263345195729
0,6,6,desire,-0.008998435054773157,0.6388888888888888
0,6,6,disappointment,0.0,0.3023255813953488
0,6,6,disapproval,-0.010739234699197131,0.5072463768115942
0,6,6,disgust,0.004987129987129912,0.5585585585585585
0,6,6,embarrassment,-0.06461538461538463,0.32
0,6,6,excitement,0.005555555555555591,0.45
0,6,6,fear,0.0,0.6511627906976745
0,6,6,gratitude,0.0028848255263349554,0.9326145552560647
0,6,6,joy,0.004016064257028051,0.6666666666666666
0,6,6,love,-0.004137630662020886,0.8083623693379791
0,6,6,optimism,-0.014585635359115945,0.56
0,6,6,realization,-0.0025740025740025874,0.2857142857142857
0,6,6,remorse,-0.019607843137254832,0.6470588235294118
0,6,6,sadness,0.010412194074710168,0.583941605839416
0,6,6,surprise,0.025974025974025983,0.5714285714285714
0,7,7,admiration,-0.0023719165085388516,0.7476280834914611
0,7,7,amusement,0.0,0.8362369337979094
0,7,7,anger,0.0,0.5180722891566265
0,7,7,annoyance,0.016579259008628,0.45136186770428016
0,7,7,approval,0.0,0.5678233438485805
0,7,7,caring,0.0121848739495799,0.55
0,7,7,confusion,0.0,0.5223880597014925
0,7,7,curiosity,0.007117437722419906,0.7046263345195729
0,7,7,desire,0.0,0.6388888888888888
0,7,7,disappointment,0.0,0.3023255813953488
0,7,7,disapproval,0.00175187131708876,0.5072463768115942
0,7,7,disgust,0.0,0.5585585585585585
0,7,7,embarrassment,0.0,0.32
0,7,7,excitement,0.005555555555555591,0.45
0,7,7,fear,0.0,0.6511627906976745
0,7,7,gratitude,0.0028848255263349554,0.9326145552560647
0,7,7,joy,0.0,0.6666666666666666
0,7,7,love,0.0,0.8083623693379791
0,7,7,optimism,0.0031818181818182856,0.56
0,7,7,realization,0.0,0.2857142857142857
0,7,7,remorse,0.0,0.6470588235294118
0,7,7,sadness,0.0,0.583941605839416
0,7,7,surprise,-0.006349206349206327,0.5714285714285714
0,8,8,admiration,-0.005223627535154818,0.7476280834914611
0,8,8,amusement,0.006968641114982632,0.8362369337979094
0,8,8,anger,0.0,0.5180722891566265
0,8,8,annoyance,0.02448439734854896,0.45136186770428016
0,8,8,approval,0.008817132668456296,0.5678233438485805
0,8,8,caring,-0.011983471074380136,0.55
0,8,8,confusion,0.003869541182974001,0.5223880597014925
0,8,8,curiosity,-0.0025165226232842786,0.7046263345195729
0,8,8,desire,0.0,0.6388888888888888
0,8,8,disappointment,-0.01951349906442129,0.3023255813953488
0,8,8,disapproval,-0.009117259552042123,0.5072463768115942
0,8,8,disgust,0.004987129987129912,0.5585585585585585
0,8,8,embarrassment,0.0,0.32
0,8,8,excitement,-0.0056962025316455445,0.45
0,8,8,fear,0.05592469545957923,0.6511627906976745
0,8,8,gratitude,-0.002869315711677145,0.9326145552560647
0,8,8,joy,-0.004065040650406582,0.6666666666666666
0,8,8,love,-0.0014967855915983819,0.8083623693379791
0,8,8,optimism,0.008275862068965578,0.56
0,8,8,realization,0.015444015444015413,0.2857142857142857
0,8,8,remorse,0.0,0.6470588235294118
0,8,8,sadness,0.010412194074710168,0.583941605839416
0,8,8,surprise,0.008465608465608399,0.5714285714285714
0,9,9,admiration,0.003353274331155842,0.7476280834914611
0,9,9,amusement,0.004069101630077232,0.8362369337979094
0,9,9,anger,0.0,0.5180722891566265
0,9,9,annoyance,0.013861867704280162,0.45136186770428016
0,9,9,approval,-0.008979163988410144,0.5678233438485805
0,9,9,caring,0.0,0.55
0,9,9,confusion,-0.010945273631840835,0.5223880597014925
0,9,9,curiosity,0.0,0.7046263345195729
0,9,9,desire,-0.008998435054773157,0.6388888888888888
0,9,9,disappointment,0.0,0.3023255813953488
0,9,9,disapproval,-0.018301068443880242,0.5072463768115942
0,9,9,disgust,0.004987129987129912,0.5585585585585585
0,9,9,embarrassment,0.0,0.32
0,9,9,excitement,0.0,0.45
0,9,9,fear,0.032115171650055396,0.6511627906976745
0,9,9,gratitude,-0.002869315711677145,0.9326145552560647
0,9,9,joy,0.004016064257028051,0.6666666666666666
0,9,9,love,-0.004137630662020886,0.8083623693379791
0,9,9,optimism,0.0031818181818182856,0.56
0,9,9,realization,-0.020592020592020588,0.2857142857142857
0,9,9,remorse,0.0,0.6470588235294118
0,9,9,sadness,-0.0102612927113086,0.583941605839416
0,9,9,surprise,0.010822510822510845,0.5714285714285714
0,10,10,admiration,0.004770940634318266,0.7476280834914611
0,10,10,amusement,0.006968641114982632,0.8362369337979094
0,10,10,anger,-0.003139832055494729,0.5180722891566265
0,10,10,annoyance,0.01829100156254787,0.45136186770428016
0,10,10,approval,0.010861318532124797,0.5678233438485805
0,10,10,caring,-0.004621848739495782,0.55
0,10,10,confusion,-0.0070237050043898686,0.5223880597014925
0,10,10,curiosity,0.004265323689248035,0.7046263345195729
0,10,10,desire,0.0,0.6388888888888888
0,10,10,disappointment,0.0,0.3023255813953488
0,10,10,disapproval,-0.014812446717817562,0.5072463768115942
0,10,10,disgust,0.0,0.5585585585585585
0,10,10,embarrassment,0.0,0.32
0,10,10,excitement,0.005555555555555591,0.45
0,10,10,fear,0.015868673050615678,0.6511627906976745
0,10,10,gratitude,0.0,0.9326145552560647
0,10,10,joy,0.004089979550102263,0.6666666666666666
0,10,10,love,-0.009819448843839118,0.8083623693379791
0,10,10,optimism,0.0,0.56
0,10,10,realization,0.0,0.2857142857142857
0,10,10,remorse,0.0,0.6470588235294118
0,10,10,sadness,-0.014598540145985495,0.583941605839416
0,10,10,surprise,0.010822510822510845,0.5714285714285714
0,11,11,admiration,0.003353274331155842,0.7476280834914611
0,11,11,amusement,0.0,0.8362369337979094
0,11,11,anger,0.0,0.5180722891566265
0,11,11,annoyance,0.01829100156254787,0.45136186770428016
0,11,11,approval,-0.008126023240027092,0.5678233438485805
