head_a_layer,head_a_head,head_b_layer,head_b_head,correlation
6,7,11,2,0.8097484356851482
4,4,5,3,0.809587531171774
2,10,11,9,0.8092248111463549
11,3,11,4,0.8092131531410751
5,6,6,1,0.8090304162727296
0,6,8,2,0.8088327144000607
6,7,8,8,0.8086930756815819
5,1,8,6,0.808652794155188
6,11,11,5,0.8083897742131726
4,10,9,6,0.8079302581621847
4,8,7,4,0.8078947321704568
5,4,9,6,0.8078340848492748
5,6,6,11,0.8076905510078661
0,3,9,6,0.8073241885238787
2,3,5,6,0.8072566778235185
4,0,10,1,0.8072348471534787
0,3,4,10,0.8059215435276539
4,10,10,3,0.8057418823752653
2,3,10,2,0.805337993342031
8,2,10,2,0.80532860641004
5,6,7,9,0.8044171597031878
4,10,5,1,0.8042271811995021
8,6,11,5,0.803627900309079
8,1,10,3,0.8035009248989898
2,3,11,5,0.8032878338898662
6,7,9,8,0.8032126611341969
0,6,5,4,0.8031015988186841
3,4,4,2,0.8029322489254639
6,7,9,0,0.8027351475204285
5,4,7,9,0.802335770344179
5,8,8,3,0.8021975329796344
0,3,8,6,0.8021086755747914
0,4,7,9,0.8021071531205857
6,11,7,7,0.8015987147364583
5,6,8,6,0.8014400006271083
1,10,3,0,0.8013265162770044
5,3,5,8,0.7998942826782908
7,7,10,7,0.7996011510936476
1,10,6,11,0.7995380693767171
0,4,5,3,0.7994169463810283
5,3,10,3,0.7992829966412773
0,4,4,10,0.7989562305958436
10,2,10,3,0.7984158046039155
4,10,6,11,0.7983597372954558
2,3,4,10,0.7980634157758913
4,8,5,6,0.7979389893194887
7,9,10,2,0.7976837253467682
4,1,8,6,0.796938799431308
9,8,11,4,0.7968867838537068
4,0,6,7,0.7964478438515576
0,4,5,2,0.7963649516862292
5,1,5,4,0.7952452392725495
0,4,7,1,0.7950564937283423
3,7,10,3,0.795010932310642
5,4,10,3,0.7946380496401804
8,6,10,7,0.7944583626981319
5,8,6,1,0.7944193029450355
7,1,10,2,0.7942431361190937
7,4,10,3,0.7942369863421007
7,10,8,6,0.7941609553125751
6,2,8,3,0.7940207935756486
5,3,8,6,0.7939967124809574
0,1,8,5,0.7937004296199842
2,3,7,9,0.793645780085902
4,0,9,8,0.7928655880012074
5,2,6,11,0.7922830684962554
5,1,6,2,0.7919332340819502
5,4,8,3,0.7913468600113952
4,8,5,2,0.7913031821682254
