layer,head,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,joy,love,optimism,realization,remorse,sadness,surprise
0,0,0.0004582721707064863,0.0,0.0,0.01829100156254787,-0.001796909315976536,-0.004621848739495782,0.0,0.0024986749451048063,0.0,0.0034750066827051174,-0.003702528297894858,0.004987129987129912,0.012307692307692297,0.005555555555555591,0.0,0.0028848255263349554,-0.004065040650406582,-0.0056727183813191084,0.0031818181818182856,-0.0025740025740025874,0.0,0.006163828061638288,-0.0021008403361344463
0,1,-0.0004635195619739907,0.0,-0.006317954745812537,-0.001763132295719838,-0.001796909315976536,-0.011983471074380136,-0.010945273631840835,-0.0025165226232842786,0.0,0.0,-0.021739130434782594,0.004987129987129912,0.0,0.0,0.015868673050615678,0.0,0.0,-0.002826441850832029,0.005086705202312247,0.0,-0.019607843137254832,0.006163828061638288,-0.006349206349206327
0,2,0.008580464443842084,0.0029036004645760505,-0.012048192771084376,0.0017494646035049466,0.006309148264984299,0.002991452991452981,-0.0070237050043898686,0.0024986749451048063,0.0,-0.003556771545827675,-0.016389986824769442,0.0,0.0,0.0,0.007484629778134244,-0.002520579879070395,0.007984031936127733,0.00836236933797907,-0.003218390804597626,-0.0051948051948051965,-0.019607843137254832,0.004231460911879759,-0.010660980810234588
0,3,0.0004582721707064863,0.0029036004645760505,0.0031022292763870363,0.006049367704280162,0.013683216460045444,0.007627118644067843,-0.021729587357330993,0.0,0.0,-0.003556771545827675,-0.009117259552042123,0.018018018018017945,-0.12444444444444441,-0.0056962025316455445,0.032115171650055396,0.0,0.004016064257028051,-0.009819448843839118,0.0,0.012987012987012991,0.0,0.010412194074710168,0.0
0,4,0.0009113855552510541,0.004069101630077232,-0.006317954745812537,0.01829100156254787,0.007313789708453089,0.0121848739495799,-0.010945273631840835,-0.0025165226232842786,0.0,-0.023255813953488413,-0.014812446717817562,0.0,-0.06461538461538463,0.0,0.0,0.0028848255263349554,0.004016064257028051,-0.002826441850832029,-0.0017977528089887507,-0.0025740025740025874,-0.019607843137254832,0.010412194074710168,-0.0021008403361344463
0,5,0.004770940634318266,0.0029036004645760505,-0.003139832055494729,0.010416985814516388,0.0008451507021630666,-0.011983471074380136,0.0,0.0,0.0,-0.015856236786469358,-0.011272141706924255,0.018018018018017945,0.0,0.01097560975609757,0.007484629778134244,-0.002869315711677145,-0.0121212121212122,-0.006968641114982521,0.011428571428571455,0.0,0.0,0.010412194074710168,0.0
0,6,0.001415962279339933,0.0029036004645760505,-0.01851307669703206,0.007782101167315203,-0.0026894766642400203,0.002991452991452981,-0.010945273631840835,0.009285832727458199,-0.008998435054773157,0.0,-0.010739234699197131,0.004987129987129912,-0.06461538461538463,0.005555555555555591,0.0,0.0028848255263349554,0.004016064257028051,-0.004137630662020886,-0.014585635359115945,-0.0025740025740025874,-0.019607843137254832,0.010412194074710168,0.025974025974025983
0,7,-0.0023719165085388516,0.0,0.0,0.016579259008628,0.0,0.0121848739495799,0.0,0.007117437722419906,0.0,0.0,0.00175187131708876,0.0,0.0,0.005555555555555591,0.0,0.0028848255263349554,0.0,0.0,0.0031818181818182856,0.0,0.0,0.0,-0.006349206349206327
0,8,-0.005223627535154818,0.006968641114982632,0.0,0.02448439734854896,0.008817132668456296,-0.011983471074380136,0.003869541182974001,-0.0025165226232842786,0.0,-0.01951349906442129,-0.009117259552042123,0.004987129987129912,0.0,-0.0056962025316455445,0.05592469545957923,-0.002869315711677145,-0.004065040650406582,-0.0014967855915983819,0.008275862068965578,0.015444015444015413,0.0,0.010412194074710168,0.008465608465608399
0,9,0.003353274331155842,0.004069101630077232,0.0,0.013861867704280162,-0.008979163988410144,0.0,-0.010945273631840835,0.0,-0.008998435054773157,0.0,-0.018301068443880242,0.004987129987129912,0.0,0.0,0.032115171650055396,-0.002869315711677145,0.004016064257028051,-0.004137630662020886,0.0031818181818182856,-0.020592020592020588,0.0,-0.0102612927113086,0.010822510822510845
0,10,0.004770940634318266,0.006968641114982632,-0.003139832055494729,0.01829100156254787,0.010861318532124797,-0.004621848739495782,-0.0070237050043898686,0.004265323689248035,0.0,0.0,-0.014812446717817562,0.0,0.0,0.005555555555555591,0.015868673050615678,0.0,0.004089979550102263,-0.009819448843839118,0.0,0.0,0.0,-0.014598540145985495,0.010822510822510845
0,11,0.003353274331155842,0.0,0.0,0.01829100156254787,-0.008126023240027092,0.0,0.0,-0.0025165226232842786,0.0,0.0,-0.016738863040804297,0.0,0.0,0.0,0.0,0.0,0.008130081300812941,0.0,0.0,-0.0025740025740025874,0.0,-0.0102612927113086,-0.010660980810234588
