depth_group,r256,r128,r64
Early (0-3),0.10241100192070007,0.0043780445121228695,-0.10854386538267136
Middle (4-7),0.12390275299549103,0.07238467037677765,-0.023898454383015633
Late (8-11),0.12652571499347687,0.1518242210149765,0.10410936921834946
