component,r256,r128,r64
Query,0.08476603776216507,0.09105564653873444,0.09799908846616745
Key,0.08475374430418015,0.09112222492694855,0.09926298260688782
Value,0.08494768291711807,0.03951706737279892,0.06287991255521774
Attn_Output,0.0803593322634697,0.06926571577787399,0.021295780315995216
FFN_Inter,0.0008714055875316262,-0.043994881212711334,-0.13477839529514313
FFN_Output,0.14084817469120026,0.08277417719364166,0.019940480589866638
Attention_All,0.08169559389352798,0.02511156164109707,-0.07234616577625275
FFN_All,0.048140693455934525,-0.024421950802206993,-0.10071498155593872
