depth_group,layers,rank,f1_macro,compression_ratio,n_layers,f1_retention,silhouette
Early (0-3),"[0, 1, 2, 3]",256,0.4926991122866245,1.1484703136115817,24,85.38640421446624,0.10145613
Early (0-3),"[0, 1, 2, 3]",128,0.36045882355111675,1.2405637587715705,24,62.46871983910041,0.0030378131
Early (0-3),"[0, 1, 2, 3]",64,0.21363954114962616,1.2923804068437477,24,37.02444709537646,-0.10623358
Middle (4-7),"[4, 5, 6, 7]",256,0.4761327546331762,1.1484703136115817,24,82.51539901944196,0.12298324
Middle (4-7),"[4, 5, 6, 7]",128,0.2682249538439051,1.2405637587715705,24,46.484281700915055,0.07357799
Middle (4-7),"[4, 5, 6, 7]",64,0.1459135082214698,1.2923804068437477,24,25.28729904855462,-0.023529686
Late (8-11),"[8, 9, 10, 11]",256,0.19223728276214352,1.1484703136115817,24,33.315364127285115,0.12993951
Late (8-11),"[8, 9, 10, 11]",128,0.0,1.2405637587715705,24,0.0,0.15147531
Late (8-11),"[8, 9, 10, 11]",64,0.0,1.2923804068437477,24,0.0,0.10418047
