depth_group,layers,rank,f1_macro,compression_ratio,n_layers,f1_retention,f1_retention_pct,silhouette
Early (0-3),"[0, 1, 2, 3]",256,0.49254049621772883,1.1484703136115817,24,0.8536067052590559,85.36067052590559,0.102411
Early (0-3),"[0, 1, 2, 3]",128,0.3604304272930589,1.2405637587715705,24,0.6246508294837492,62.46508294837491,0.0043780445
Early (0-3),"[0, 1, 2, 3]",64,0.21392664491906258,1.2923804068437477,24,0.37074965396502557,37.074965396502556,-0.108543865
Middle (4-7),"[4, 5, 6, 7]",256,0.4760703249491955,1.1484703136115817,24,0.8250627606706494,82.50627606706495,0.12390275
Middle (4-7),"[4, 5, 6, 7]",128,0.2672550480445094,1.2405637587715705,24,0.46317146057423586,46.317146057423585,0.07238467
Middle (4-7),"[4, 5, 6, 7]",64,0.14629644420398344,1.2923804068437477,24,0.253541844146911,25.3541844146911,-0.023898454
Late (8-11),"[8, 9, 10, 11]",256,0.19257023647213453,1.1484703136115817,24,0.33373752279908325,33.373752279908324,0.12652571
Late (8-11),"[8, 9, 10, 11]",128,0.0,1.2405637587715705,24,0.0,0.0,0.15182422
Late (8-11),"[8, 9, 10, 11]",64,0.0,1.2923804068437477,24,0.0,0.0,0.10410937
