depth_group,r256,r128,r64
Early (0-3),0.49254049621772883,0.3604304272930589,0.21392664491906258
Middle (4-7),0.4760703249491955,0.2672550480445094,0.14629644420398344
Late (8-11),0.19257023647213453,0.0,0.0
