study,rank,x_min,x_max,y_min,y_max
component,256,-107.54933166503906,103.32154083251953,-101.9747314453125,98.29307556152344
depth,256,-75.89202117919922,67.4390869140625,-81.26974487304688,78.92334747314453
component,128,-98.69389343261719,97.40740203857422,-100.7989273071289,93.89735412597656
depth,128,-82.2316665649414,73.78839874267578,-79.12389373779297,65.89785766601562
component,64,-86.84542846679688,101.18988800048828,-102.14029693603516,96.17240905761719
depth,64,-84.0599136352539,66.56497192382812,-62.97744369506836,62.77977752685547
