component,r256,r128,r64
Query,0.5793706728673087,0.5736449263868397,0.568850987264377
Key,0.5761626464447293,0.5675649266190387,0.5630955457391618
Value,0.5397290981517472,0.3953311073330167,0.03184440479386388
Attn_Output,0.531921940201605,0.32527647097545026,0.01442356222656051
FFN_Inter,0.29731418206519544,0.04002599566070752,0.0
FFN_Output,0.4324030050717148,0.12795888494949534,0.0
Attention_All,0.4814216146792677,0.026674373540838067,0.01439351288444234
FFN_All,0.11227958697885645,0.000610170574627108,0.0
