lesion_sensitivity,patching_restoration
0.03482788791907643,0.0
0.0,0.0
0.01953914141414137,0.0
0.06947470346163165,0.0
0.051111358698679554,0.0
0.033055555555555616,0.0
0.0,0.0
0.024048875312413176,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1011078717201166,0.0
1.0,0.0
0.085670576236614,0.0
0.022263450834879572,0.0
0.0,0.0
0.04400842478660916,0.0
0.0,0.0
0.00932948520034882,0.0
0.0,0.0
0.0,0.0
0.09927601809954756,0.0
0.00996015936254957,0.0
0.02312558277528176,0.0
0.0,0.0
0.03865881458966558,0.0
0.06485671191553544,0.0
0.004384777783792648,0.0
0.06223060344827602,0.0
0.0,0.0
0.012522361359570633,0.0
0.0,0.0
0.040609137055837574,0.0
0.0,0.0
0.09594182500586435,0.0
0.4375,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.047128803477465175,0.0
0.00995661537501158,0.0
0.0,0.0
0.10134310134310132,0.0
0.0,0.0
0.06047794117647076,0.0
0.01778656126482203,0.0
0.005684344236265404,0.0
0.006516883896130032,0.0
0.036395582329317167,0.0
0.03548857559552765,0.0
0.04022988505747116,0.0
0.078125,0.0
0.0,0.0
0.007194244604316613,0.0
0.0,0.0
0.058389796731765586,0.0
0.0,0.0
0.08441558441558439,0.0
0.6153846153846154,0.0
0.0,0.0
0.04143475572046995,0.0
0.0028985507246376274,0.0
0.020445252158109994,0.0
0.0,0.0
0.01554058560661642,0.0
0.06720647773279342,0.0
0.034429824561403644,0.0
0.07435480120902116,0.0
0.0,0.0
0.017612046373206347,0.0
0.01217238550582922,0.0
0.01953914141414137,0.0
0.08383063370275645,0.0
0.06074053137365765,0.0
0.06966743119266061,0.0
0.0,0.0
0.025472887767969632,0.0
0.0,0.0
0.0,0.0
0.030521228633518027,0.0
0.0,0.0
0.6153846153846154,0.0
0.06207497820401042,0.0
0.04764890282131662,0.0
0.004336930488898827,0.0
0.010752688172043001,0.0
0.0,0.0
0.0,0.0
0.13122171945701355,0.0
0.0,0.0
0.1064359861591696,0.0
0.0,0.0
0.020371563096877376,0.0
0.000796251749658361,0.0
0.010478303747534556,0.0
0.061055316435517204,0.0
0.02488335925349916,0.0
0.09825327510917037,0.0
0.0,0.0
0.00540540540540535,0.0
0.0,0.0
0.06203473945409421,0.0
0.01819734594665623,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.014621741894469187,0.0
0.0,0.0
0.008008898776418194,0.0
0.0,0.0
0.0,0.0
0.053254437869822424,0.0
0.016956521739130426,0.0
0.04322845417236676,0.0
0.015625,0.0
0.039466700512299835,0.0
0.008733624454148381,0.0
0.01716933139534882,0.0
0.06596777324791303,0.0
0.01291680892227165,0.0
0.00027777777777759916,0.0
0.0,0.0
0.017019413224346747,0.0
0.0,0.0
0.0,0.0
0.033727730178158444,0.0
0.05654064904650402,0.0
0.1477272727272727,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.009462365591397792,0.0
0.0,0.0
0.019605322362923228,0.0
0.0,0.0
0.0,0.0
0.0073800738007380184,0.0
