strategy,threshold,macro_f1,retention,compression_ratio
Adaptive 80%,80,0.14314894605644235,0.2480870124241122,1.3868779574321402
Adaptive 85%,85,0.2601214879026595,0.4508085080531501,1.253906904553081
Adaptive 90%,90,0.3572306911569512,0.6191054657180988,1.1208785740785407
Adaptive 95%,95,0.49175554866947385,0.8522463369327713,0.9789285095542458
Adaptive 99%,99,0.5581059874833646,0.967236230968573,0.8321446790958057
