rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
19,0.56801623,0.094682105,0.49682727,0.048183545,0.76777005,0.04478029,0.7236468,0.043808084,0.3307574,0.033660427,0.45566738,0.07999793
20,0.5590298,0.09095381,0.4890876,0.048349373,0.76269907,0.044758387,0.7205438,0.043649387,0.32691094,0.032705743,0.45266536,0.07961227
21,0.55152744,0.09121684,0.48307577,0.04989094,0.75759035,0.04549674,0.7173677,0.044214316,0.32407132,0.032104924,0.44924387,0.07907072
22,0.5430997,0.089404844,0.47730663,0.049305826,0.75274897,0.04505672,0.7114606,0.043689914,0.32105908,0.032650556,0.4463006,0.07842343
23,0.53533995,0.09238566,0.47145358,0.05094782,0.7490476,0.04569908,0.70790917,0.0433806,0.31716534,0.0318051,0.4440072,0.07840249
24,0.53031653,0.092547245,0.46639195,0.050994344,0.74226195,0.046354026,0.70280343,0.04324914,0.3144134,0.031512994,0.44128132,0.07722262
25,0.5248241,0.091002345,0.4619845,0.050799526,0.7384503,0.04607231,0.69818705,0.043856114,0.3118968,0.031369526,0.43761334,0.07703615
26,0.51978964,0.09232876,0.45628038,0.05268369,0.7324755,0.04717512,0.69424087,0.04421851,0.3090432,0.031700674,0.43430933,0.07637714
27,0.5145595,0.09247604,0.4532778,0.053277973,0.72864646,0.04685524,0.6912176,0.04443969,0.3067866,0.031167202,0.43136987,0.07615301
28,0.50924647,0.091321416,0.4494636,0.05290589,0.72402936,0.047502067,0.68599796,0.045922305,0.30409443,0.0314849,0.42815283,0.075655736
29,0.5038304,0.090821855,0.4453155,0.052280292,0.7208538,0.047780845,0.68328404,0.045808926,0.30169022,0.031026924,0.42645645,0.07522252
30,0.49883565,0.08923417,0.44195226,0.052756745,0.71712166,0.048646428,0.68053603,0.0458326,0.2996976,0.03140957,0.4244517,0.07479036
31,0.4939349,0.08821766,0.43819913,0.051529996,0.7124727,0.04816927,0.6758535,0.046340235,0.297128,0.031358544,0.4216123,0.07455704
32,0.4897758,0.08817433,0.43495342,0.051868,0.7092261,0.049177784,0.67244124,0.046456825,0.29509428,0.03125064,0.41931915,0.07387619
33,0.48442903,0.0869272,0.4317281,0.051436543,0.70498395,0.04903705,0.6689348,0.04703026,0.2930426,0.031230014,0.41732433,0.073397234
34,0.48041603,0.086525835,0.42843583,0.05126048,0.70108837,0.0494598,0.66569614,0.04709567,0.291303,0.030807039,0.41547406,0.073082455
