strategy,rank,macro_f1,retention,compression_ratio
Baseline,768,0.577011044059513,1.0,1.0
Uniform r=512,512,0.4643000538234426,0.8046640677046636,1.0
Uniform r=384,384,0.25079092245323864,0.43463799356216837,1.2405637587715705
Uniform r=256,256,0.02481252711178224,0.04300182356513626,1.6335324697763844
Uniform r=128,128,0.0,0.0,2.3908836963130256
Uniform r=64,64,0.0,0.0,3.112375829267511
