layer,Query,Key,Value,Attn_Output,FFN_Inter,FFN_Output
L0,531.0,532.0,553.0,549.0,723.0,730.0
L1,538.0,532.0,554.0,550.0,721.0,723.0
L2,523.0,513.0,550.0,547.0,724.0,728.0
L3,541.0,536.0,546.0,552.0,723.0,728.0
L4,541.0,541.0,554.0,558.0,725.0,727.0
L5,537.0,535.0,553.0,557.0,726.0,727.0
L6,534.0,530.0,563.0,564.0,727.0,725.0
L7,526.0,523.0,569.0,574.0,722.0,727.0
L8,534.0,533.0,564.0,571.0,722.0,731.0
L9,549.0,547.0,574.0,585.0,720.0,733.0
L10,550.0,551.0,567.0,574.0,719.0,731.0
L11,549.0,553.0,565.0,574.0,721.0,649.0
